All transcripts| 4507 entries on 5 pages. Showing entries 1 - 4507.
ID	Chr	Gene ID	Name	NCBI ID	NCBI Protein ID	Variants
00002177	16	LYRM1	transcript variant 3	NM_001128302.1	NP_001121774.1	0
00002178	6	LYRM2	transcript variant 1	NM_020466.4	NP_065199.1	0
00002179	6	LYRM2	transcript variant 4	NR_028495.1	-	0
00002180	6	LYRM2	transcript variant 3	NR_028494.1	-	0
00002181	6	LYRM2	transcript variant 2	NR_028493.1	-	0
00002182	6	LYRM4	transcript variant X1	XM_005249237.1	XP_005249294.1	2
00002183	6	LYRM4	transcript variant 1	NM_020408.4	NP_065141.3	2
00002184	6	LYRM4	transcript variant 3	NM_001164841.1	NP_001158313.1	2
00002185	6	LYRM4	transcript variant X3	XM_005249239.1	XP_005249296.1	2
00002186	6	LYRM4	transcript variant X2	XM_005249238.1	XP_005249295.1	2
00002187	6	LYRM4	transcript variant 2	NM_001164840.1	NP_001158312.1	2
00002188	12	LYRM5	LYR motif containing 5	NM_001001660.2	NP_001001660.2	0
00002189	5	LYRM7	LYR motif containing 7	NM_181705.2	NP_859056.2	5
00002190	X	MAOB	monoamine oxidase B	NM_000898.4	NP_000889.3	0
00002191	12	MARS	methionyl-tRNA synthetase	NM_004990.3	NP_004981.2	0
00002192	5	MAT2B	transcript variant 2	NM_182796.2	NP_877725.1	0
00002193	5	MAT2B	transcript variant 1	NM_013283.4	NP_037415.1	0
00002194	22	MCAT	transcript variant 2	NM_014507.3	NP_055322.1	0
00002195	22	MCAT	transcript variant 1	NM_173467.4	NP_775738.3	0
00002196	2	MCEE	methylmalonyl CoA epimerase	NM_032601.3	NP_115990.3	0
00002197	2	MDH1	transcript variant 2	NM_005917.3	NP_005908.1	0
00002198	2	MDH1	transcript variant 1	NM_001199111.1	NP_001186040.1	0
00002199	2	MDH1	transcript variant 3	NM_001199112.1	NP_001186041.1	0
00002200	7	MDH2	transcript variant X1	XM_005250350.1	XP_005250407.1	0
00002201	7	MDH2	transcript variant X2	XM_005250351.1	XP_005250408.1	0
00002202	7	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	NM_005918.2	NP_005909.2	0
00002203	6	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	NM_002395.4	NP_002386.1	0
00002204	11	ME3	transcript variant 3	NM_001161586.1	NP_001155058.1	0
00002205	11	ME3	transcript variant 1	NM_006680.2	NP_006671.2	0
00002206	11	ME3	transcript variant 2	NM_001014811.1	NP_001014811.1	0
00002207	1	MECR	transcript variant 1	NM_016011.2	NP_057095.2	0
00002208	1	MECR	transcript variant 2	NM_001024732.1	NP_001019903.1	0
00002209	1	MECR	transcript variant X2	XM_005245886.1	XP_005245943.1	0
00002210	1	MECR	transcript variant X3	XM_005245887.1	XP_005245944.1	0
00002211	1	MECR	transcript variant X5	XM_005245889.1	XP_005245946.1	0
00002212	1	MECR	transcript variant X1	XM_005245885.1	XP_005245942.1	0
00002213	1	MECR	transcript variant X4	XM_005245888.1	XP_005245945.1	0
00002214	1	MECR	transcript variant X6	XM_005245890.1	XP_005245947.1	0
00002215	3	MFN1	mitofusin 1	NM_033540.2	NP_284941.2	0
00002216	13	MIPEP	mitochondrial intermediate peptidase	NM_005932.3	NP_005923.2	9
00002217	3	MOBP	transcript variant 6	NR_103505.1	-	0
00002218	3	MOBP	transcript variant 5	NR_103504.1	-	0
00002219	3	MOBP	transcript variant 4	NR_003090.2	-	0
00002220	3	MOBP	transcript variant 1	NM_001278322.1	NP_001265251.1	0
00002221	3	MOBP	transcript variant 3	NM_182935.3	NP_891980.1	0
00002222	3	MOBP	transcript variant 7	NR_103506.1	-	0
00002223	3	MOBP	transcript variant X2	XR_245128.1	-	0
00002224	3	MOBP	transcript variant X3	XR_245129.1	-	0
00002225	3	MOBP	transcript variant X1	XM_005265167.1	XP_005265224.1	0
00002226	3	MOBP	transcript variant 2	NM_001278323.1	NP_001265252.1	0
00002227	22	MPST	transcript variant 3	NM_001130517.2	NP_001123989.1	0
00002228	22	MPST	transcript variant 2	NM_001013436.2	NP_001013454.1	0
00002229	22	MPST	transcript variant 1	NM_021126.5	NP_066949.2	0
00002230	17	MRM1	transcript variant X1	XM_005257694.1	XP_005257751.1	0
00002231	17	MRM1	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)	NM_024864.3	NP_079140.2	0
00002232	17	MRM1	transcript variant X2	XM_005257695.1	XP_005257752.1	0
00002233	13	MRP63	mitochondrial ribosomal protein 63	NM_024026.4	NP_076931.1	0
00002234	4	MRPL1	mitochondrial ribosomal protein L1	NM_020236.3	NP_064621.3	0
00002235	17	MRPL10	transcript variant 1	NM_145255.3	NP_660298.2	0
00002236	17	MRPL10	transcript variant 2	NM_148887.2	NP_683685.1	0
00002237	17	MRPL10	transcript variant 3	NR_037575.1	-	0
00002238	11	MRPL11	transcript variant 2	NM_170738.2	NP_733934.1	0
00002239	11	MRPL11	transcript variant 1	NM_016050.3	NP_057134.1	0
00002240	11	MRPL11	transcript variant 3	NM_170739.2	NP_733935.1	0
00002241	17	MRPL12	mitochondrial ribosomal protein L12	NM_002949.3	NP_002940.2	0
00002242	8	MRPL13	mitochondrial ribosomal protein L13	NM_014078.5	NP_054797.2	0
00002243	6	MRPL14	mitochondrial ribosomal protein L14	NM_032111.2	NP_115487.2	0
00002244	8	MRPL15	mitochondrial ribosomal protein L15	NM_014175.3	NP_054894.1	0
00002245	11	MRPL16	mitochondrial ribosomal protein L16	NM_017840.3	NP_060310.1	0
00002246	11	MRPL17	mitochondrial ribosomal protein L17	NM_022061.3	NP_071344.1	0
00002247	6	MRPL18	mitochondrial ribosomal protein L18	NM_014161.3	NP_054880.2	0
00002248	2	MRPL19	mitochondrial ribosomal protein L19	NM_014763.3	NP_055578.2	0
00002249	6	MRPL2	mitochondrial ribosomal protein L2	NM_015950.3	NP_057034.2	0
00002250	6	MRPL2	transcript variant X2	XM_005249161.1	XP_005249218.1	0
00002251	6	MRPL2	transcript variant X3	XM_005249162.1	XP_005249219.1	0
00002252	6	MRPL2	transcript variant X1	XM_005249160.1	XP_005249217.1	0
00002253	1	MRPL20	mitochondrial ribosomal protein L20	NM_017971.3	NP_060441.2	0
00002254	11	MRPL21	transcript variant X2	XR_247190.1	-	0
00002255	11	MRPL21	transcript variant 4	NM_181514.1	NP_852615.1	0
00002256	11	MRPL21	transcript variant 1	NM_181515.1	NP_852616.1	0
00002257	11	MRPL21	transcript variant X1	XM_005273823.1	XP_005273880.1	0
00002258	5	MRPL22	transcript variant 1	NM_014180.3	NP_054899.2	0
00002259	5	MRPL22	transcript variant 2	NM_001014990.2	NP_001014990.1	0
00002260	11	MRPL23	transcript variant X1	XM_005253054.1	XP_005253111.1	0
00002261	11	MRPL23	mitochondrial ribosomal protein L23	NM_021134.3	NP_066957.3	0
00002262	1	MRPL24	transcript variant 2	NM_024540.3	NP_078816.2	0
00002263	1	MRPL24	transcript variant 1	NM_145729.2	NP_663781.1	0
00002264	17	MRPL27	mitochondrial ribosomal protein L27	NM_016504.2	NP_057588.1	0
00002265	16	MRPL28	transcript variant X1	XM_005255040.1	XP_005255097.1	0
00002266	16	MRPL28	mitochondrial ribosomal protein L28	NM_006428.4	NP_006419.2	0
00002267	16	MRPL28	transcript variant X3	XM_005255042.1	XP_005255099.1	0
00002268	16	MRPL28	transcript variant X2	XM_005255041.1	XP_005255098.1	0
00002269	16	MRPL28	transcript variant X4	XM_005255043.1	XP_005255100.1	0
00002270	3	MRPL3	mitochondrial ribosomal protein L3	NM_007208.3	NP_009139.1	3
00002271	2	MRPL30	transcript variant 1	NM_145212.3	NP_660213.1	0
00002272	2	MRPL30	transcript variant 3	NR_028356.1	-	0
00002273	7	MRPL32	transcript variant X1	XR_242098.1	-	0
00002274	7	MRPL32	mitochondrial ribosomal protein L32	NM_031903.2	NP_114109.1	0
00002275	2	MRPL33	transcript variant 1	NM_004891.3	NP_004882.1	0
00002276	2	MRPL33	transcript variant 2	NM_145330.2	NP_663303.1	0
00002277	19	MRPL34	transcript variant X1	XM_005260022.1	XP_005260079.1	0
00002278	19	MRPL34	mitochondrial ribosomal protein L34	NM_023937.3	NP_076426.1	0
00002279	2	MRPL35	transcript variant X1	XM_005264361.1	XP_005264418.1	0
00002280	2	MRPL35	transcript variant 1	NM_016622.3	NP_057706.2	0
00002281	2	MRPL35	transcript variant 2	NM_145644.2	NP_663619.1	0
00002282	5	MRPL36	mitochondrial ribosomal protein L36	NM_032479.3	NP_115868.1	0
00002283	1	MRPL37	transcript variant X1	XM_005270920.1	XP_005270977.1	0
00002284	1	MRPL37	mitochondrial ribosomal protein L37	NM_016491.3	NP_057575.2	0
00002285	1	MRPL37	transcript variant X2	XM_005270921.1	XP_005270978.1	0
00002286	17	MRPL38	mitochondrial ribosomal protein L38	NM_032478.3	NP_115867.2	0
00002287	21	MRPL39	transcript variant 1	NM_017446.3	NP_059142.2	0
00002288	21	MRPL39	transcript variant 2	NM_080794.3	NP_542984.2	0
00002289	19	MRPL4	transcript variant 3	NM_146388.1	NP_666500.1	0
00002290	19	MRPL4	transcript variant 1	NM_015956.2	NP_057040.2	0
00002291	19	MRPL4	transcript variant 2	NM_146387.1	NP_666499.1	0
00002292	22	MRPL40	transcript variant X2	XM_005261268.1	XP_005261325.1	0
00002293	22	MRPL40	mitochondrial ribosomal protein L40	NM_003776.2	NP_003767.2	0
00002294	22	MRPL40	transcript variant X1	XM_005261267.1	XP_005261324.1	0
00002295	9	MRPL41	mitochondrial ribosomal protein L41	NM_032477.2	NP_115866.1	0
00002296	12	MRPL42	transcript variant 3	NR_038159.1	-	0
00002297	12	MRPL42	transcript variant 2	NM_172177.3	NP_751917.1	0
00002298	12	MRPL42	transcript variant 5	NR_038161.1	-	0
00002299	12	MRPL42	transcript variant 4	NR_038160.1	-	0
00002300	12	MRPL42	transcript variant 1	NM_014050.3	NP_054769.1	0
00002301	10	MRPL43	transcript variant 2	NM_176792.2	NP_789762.1	0
00002302	10	MRPL43	transcript variant 3	NM_176793.1	NP_789763.1	0
00002303	10	MRPL43	transcript variant 4	NM_176794.1	NP_789764.1	0
00002304	10	MRPL43	transcript variant 1	NM_032112.2	NP_115488.2	0
00002305	17	MRPL45	mitochondrial ribosomal protein L45	NM_032351.4	NP_115727.4	0
00002306	15	MRPL46	mitochondrial ribosomal protein L46	NM_022163.3	NP_071446.2	0
00002307	3	MRPL47	transcript variant 2	NM_177988.1	NP_817125.1	0
00002308	3	MRPL47	transcript variant 1	NM_020409.2	NP_065142.2	0
00002309	11	MRPL48	mitochondrial ribosomal protein L48	NM_016055.5	NP_057139.1	0
00002310	11	MRPL49	transcript variant 2	NR_037567.1	-	0
00002311	11	MRPL49	transcript variant 1	NM_004927.3	NP_004918.1	0
00002312	11	MRPL49	transcript variant 3	NR_037568.1	-	0
00002313	9	MRPL50	transcript variant X1	XM_005252054.1	XP_005252111.1	0
00002314	9	MRPL50	mitochondrial ribosomal protein L50	NM_019051.2	NP_061924.1	0
00002315	12	MRPL51	mitochondrial ribosomal protein L51	NM_016497.3	NP_057581.2	0
00002316	14	MRPL52	transcript variant X4	XM_005267328.1	XP_005267385.1	0
00002317	14	MRPL52	transcript variant X3	XM_005267327.1	XP_005267384.1	0
00002318	14	MRPL52	transcript variant 4	NM_181304.2	NP_851821.1	0
00002319	14	MRPL52	transcript variant 5	NM_181305.2	NP_851822.1	0
00002320	14	MRPL52	transcript variant 6	NM_181306.2	NP_851823.1	0
00002321	14	MRPL52	transcript variant 1	NM_178336.2	NP_848026.1	0
00002322	14	MRPL52	transcript variant 7	NM_181307.2	NP_851824.1	0
00002323	14	MRPL52	transcript variant 3	NM_180982.2	NP_851313.1	0
00002324	14	MRPL52	transcript variant X2	XM_005267326.1	XP_005267383.1	0
00002325	14	MRPL52	transcript variant X1	XM_005267325.1	XP_005267382.1	0
00002326	2	MRPL53	mitochondrial ribosomal protein L53	NM_053050.4	NP_444278.1	0
00002327	19	MRPL54	mitochondrial ribosomal protein L54	NM_172251.2	NP_758455.1	0
00002328	1	MRPL55	transcript variant X2	XM_005273054.1	XP_005273111.1	0
00002329	1	MRPL55	transcript variant 7	NM_181465.2	NP_852130.1	0
00002330	1	MRPL55	transcript variant 6	NM_181464.2	NP_852129.1	0
00002331	1	MRPL55	transcript variant 1	NM_181454.2	NP_852119.1	0
00002332	1	MRPL55	transcript variant 2	NM_181455.2	NP_852120.1	0
00002333	1	MRPL55	transcript variant 8	NM_181441.2	NP_852106.1	0
00002334	1	MRPL55	transcript variant 3	NM_181456.2	NP_852121.1	0
00002335	1	MRPL55	transcript variant 5	NM_181463.2	NP_852128.1	0
00002336	1	MRPL55	transcript variant 4	NM_181462.2	NP_852127.2	0
00002337	1	MRPL55	transcript variant X3	XM_005273055.1	XP_005273112.1	0
00002338	1	MRPL55	transcript variant X7	XM_005273059.1	XP_005273116.1	0
00002339	1	MRPL55	transcript variant X8	XM_005273060.1	XP_005273117.1	0
00002340	1	MRPL55	transcript variant X1	XM_005273053.1	XP_005273110.1	0
00002341	1	MRPL55	transcript variant X10	XM_005273062.1	XP_005273119.1	0
00002342	1	MRPL55	transcript variant X11	XM_005273063.1	XP_005273120.1	0
00002343	1	MRPL55	transcript variant X9	XM_005273061.1	XP_005273118.1	0
00002344	1	MRPL55	transcript variant X6	XM_005273058.1	XP_005273115.1	0
00002345	1	MRPL55	transcript variant X5	XM_005273057.1	XP_005273114.1	0
00002346	1	MRPL55	transcript variant X4	XM_005273056.1	XP_005273113.1	0
00002347	1	MRPL9	transcript variant X1	XM_005245455.1	XP_005245512.1	0
00002348	1	MRPL9	mitochondrial ribosomal protein L9	NM_031420.2	NP_113608.1	0
00002349	6	MRPS10	mitochondrial ribosomal protein S10	NM_018141.3	NP_060611.2	0
00002350	15	MRPS11	transcript variant 1	NM_022839.3	NP_073750.2	0
00002351	15	MRPS11	transcript variant 2	NM_176805.2	NP_789775.1	0
00002352	19	MRPS12	transcript variant 2	NM_033362.3	NP_203526.1	0
00002353	19	MRPS12	transcript variant 1	NM_021107.1	NP_066930.1	0
00002354	19	MRPS12	transcript variant 3	NM_033363.1	NP_203527.1	0
00002355	1	MRPS14	transcript variant 1	NM_022100.2	NP_071383.1	1
00002356	1	MRPS14	transcript variant 2	NR_037606.1	-	1
00002357	1	MRPS15	mitochondrial ribosomal protein S15	NM_031280.3	NP_112570.2	0
00002358	7	MRPS17	mitochondrial ribosomal protein S17	NM_015969.2	NP_057053.1	0
00002359	6	MRPS18A	transcript variant 2	NM_001193343.1	NP_001180272.1	0
00002360	6	MRPS18A	transcript variant 1	NM_018135.3	NP_060605.1	0
00002361	6	MRPS18B	transcript variant X1	XM_005249030.1	XP_005249087.1	0
00002362	6	MRPS18B	mitochondrial ribosomal protein S18B	NM_014046.3	NP_054765.1	0
00002363	4	MRPS18C	transcript variant X1	XM_005263043.1	XP_005263100.1	0
00002364	4	MRPS18C	mitochondrial ribosomal protein S18C	NM_016067.2	NP_057151.1	0
00002365	9	MRPS2	transcript variant 4	NR_051969.1	-	3
00002366	9	MRPS2	transcript variant 5	NR_051970.1	-	3
00002367	9	MRPS2	transcript variant 3	NR_051968.1	-	3
00002368	9	MRPS2	transcript variant 2	NR_051967.1	-	3
00002369	9	MRPS2	transcript variant 1	NM_016034.4	NP_057118.1	3
00002370	1	MRPS21	transcript variant 2	NM_018997.3	NP_061870.1	0
00002371	1	MRPS21	transcript variant 1	NM_031901.5	NP_114107.1	0
00002372	17	MRPS23	mitochondrial ribosomal protein S23	NM_016070.3	NP_057154.2	0
00002373	7	MRPS24	mitochondrial ribosomal protein S24	NM_032014.2	NP_114403.1	0
00002374	3	MRPS25	transcript variant X1	XM_005265401.1	XP_005265458.1	0
00002375	3	MRPS25	mitochondrial ribosomal protein S25	NM_022497.3	NP_071942.1	0
00002376	3	MRPS25	transcript variant X2	XM_005265402.1	XP_005265459.1	0
00002377	3	MRPS25	transcript variant X3	XR_245153.1	-	0
00002378	20	MRPS26	mitochondrial ribosomal protein S26	NM_030811.3	NP_110438.1	0
00002379	5	MRPS27	mitochondrial ribosomal protein S27	NM_015084.2	NP_055899.2	0
00002380	8	MRPS28	transcript variant X2	XM_005251224.1	XP_005251281.1	0
00002381	8	MRPS28	transcript variant X1	XM_005251223.1	XP_005251280.1	0
00002382	8	MRPS28	transcript variant X3	XM_005251225.1	XP_005251282.1	0
00002383	8	MRPS28	transcript variant X4	XM_005251226.1	XP_005251283.1	0
00002384	8	MRPS28	mitochondrial ribosomal protein S28	NM_014018.2	NP_054737.1	0
00002385	5	MRPS30	mitochondrial ribosomal protein S30	NM_016640.3	NP_057724.2	0
00002386	13	MRPS31	mitochondrial ribosomal protein S31	NM_005830.3	NP_005821.2	0
00002387	7	MRPS33	transcript variant 2	NM_053035.2	NP_444263.1	0
00002388	7	MRPS33	transcript variant 1	NM_016071.3	NP_057155.1	0
00002389	16	MRPS34	transcript variant X1	XM_005255511.1	XP_005255568.1	4
00002390	16	MRPS34	transcript variant X2	XM_005255512.1	XP_005255569.1	4
00002391	16	MRPS34	mitochondrial ribosomal protein S34	NM_023936.1	NP_076425.1	4
00002392	12	MRPS35	transcript variant 1	NM_021821.3	NP_068593.2	0
00002393	12	MRPS35	transcript variant 2	NM_001190864.1	NP_001177793.1	0
00002394	5	MRPS36	mitochondrial ribosomal protein S36	NM_033281.5	NP_150597.1	0
00002395	2	MRPS5	mitochondrial ribosomal protein S5	NM_031902.3	NP_114108.1	0
00002396	21	MRPS6	mitochondrial ribosomal protein S6	NM_032476.3	NP_115865.1	0
00002397	17	MRPS7	mitochondrial ribosomal protein S7	NM_015971.3	NP_057055.2	1
00002398	2	MRPS9	mitochondrial ribosomal protein S9	NM_182640.2	NP_872578.1	0
00002399	9	MRRF	transcript variant 1	NM_138777.3	NP_620132.1	0
00002400	9	MRRF	transcript variant 3	NM_001173512.1	NP_001166983.1	0
00002401	9	MRRF	transcript variant 2	NM_199177.2	NP_954646.1	0
00002402	8	MSRA	transcript variant 1	NM_012331.3	NP_036463.1	0
00002403	8	MSRA	transcript variant 2	NM_001135670.1	NP_001129142.1	0
00002404	8	MSRA	transcript variant 4	NM_001199729.1	NP_001186658.1	0
00002405	8	MSRA	transcript variant 3	NM_001135671.1	NP_001129143.1	0
00002406	10	MSRB2	methionine sulfoxide reductase B2	NM_012228.3	NP_036360.3	0
00002408	6	MTCH1	transcript variant 1	NM_014341.2	NP_055156.1	0
00002409	6	MTCH1	transcript variant 2	NM_001271641.1	NP_001258570.1	0
00002410	6	MTCH1	transcript variant X1	XM_005248978.1	XP_005249035.1	0
00002411	6	MTCH1	transcript variant X2	XM_005248979.1	XP_005249036.1	0
00002412	6	MTCH1	transcript variant X3	XM_005248980.1	XP_005249037.1	0
00002413	11	MTCH2	mitochondrial carrier 2	NM_014342.3	NP_055157.1	1
00002414	X	MTCP1	mature T-cell proliferation 1	NM_001018025.3	NP_001018025.1	0
00002415	7	MTERF	mitochondrial transcription termination factor	NM_006980.3	NP_008911.1	0
00002416	8	MTERFD1	MTERF domain containing 1	NM_015942.3	NP_057026.3	0
00002417	12	MTERFD3	transcript variant 2	NM_025198.4	NP_079474.2	0
00002418	12	MTERFD3	transcript variant 1	NM_001033050.2	NP_001028222.1	0
00002419	8	MTFR1	transcript variant 1	NM_014637.3	NP_055452.3	0
00002420	8	MTFR1	transcript variant 3	NM_001145839.1	NP_001139311.1	0
00002421	8	MTFR1	transcript variant 2	NM_001145838.1	NP_001139310.1	0
00002422	10	MTG1	mitochondrial GTPase 1 homolog (S. cerevisiae)	NM_138384.2	NP_612393.2	0
00002423	6	MTHFD1L	transcript variant 1	NM_001242767.1	NP_001229696.1	0
00002424	6	MTHFD1L	transcript variant 2	NM_015440.4	NP_056255.2	0
00002425	6	MTHFD1L	transcript variant 4	NM_001242769.1	NP_001229698.1	0
00002426	6	MTHFD1L	transcript variant 3	NM_001242768.1	NP_001229697.1	0
00002427	2	MTHFD2	transcript variant 3	NR_027405.1	-	0
00002428	2	MTHFD2	transcript variant 1	NM_006636.3	NP_006627.2	0
00002429	4	MTHFD2L	transcript variant X2	XM_005265691.1	XP_005265748.1	0
00002430	4	MTHFD2L	transcript variant X3	XM_005265692.1	XP_005265749.1	0
00002431	4	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like	NM_001144978.1	NP_001138450.1	0
00002432	4	MTHFD2L	transcript variant X1	XM_005265690.1	XP_005265747.1	0
00002433	15	MTHFS	transcript variant 2	NM_001199758.1	NP_001186687.1	0
00002434	15	MTHFS	transcript variant 1	NM_006441.3	NP_006432.1	0
00002435	15	MTHFS	transcript variant 3	NR_037654.1	-	0
00002436	2	MTIF2	transcript variant 2	NM_002453.2	NP_002444.2	0
00002437	2	MTIF2	transcript variant 1	NM_001005369.1	NP_001005369.1	0
00002438	13	MTIF3	transcript variant 2	NM_152912.4	NP_690876.3	0
00002439	13	MTIF3	transcript variant 1	NM_001166263.1	NP_001159735.1	0
00002440	13	MTIF3	transcript variant 4	NM_001166261.1	NP_001159733.1	0
00002441	13	MTIF3	transcript variant 3	NM_001166262.1	NP_001159734.1	0
00002442	13	MTRF1	transcript variant X1	XM_005266598.1	XP_005266655.1	0
00002443	13	MTRF1	transcript variant X2	XM_005266599.1	XP_005266656.1	0
00002444	13	MTRF1	mitochondrial translational release factor 1	NM_004294.2	NP_004285.2	0
00002445	6	MTRF1L	transcript variant 2	NM_001114184.1	NP_001107656.1	0
00002446	6	MTRF1L	transcript variant 1	NM_019041.5	NP_061914.3	0
00002447	1	MTX1	transcript variant 2	NM_198883.2	NP_942584.1	0
00002448	1	MTX1	transcript variant 1	NM_002455.3	NP_002446.2	0
00002449	2	MTX2	transcript variant 2	NR_027850.1	-	0
00002450	2	MTX2	transcript variant 1	NM_006554.4	NP_006545.1	0
00002451	18	NARS	transcript variant X1	XM_005266700.1	XP_005266757.1	0
00002452	18	NARS	asparaginyl-tRNA synthetase	NM_004539.3	NP_004530.1	0
00002453	10	NCOA4	transcript variant 1	NM_001145260.1	NP_001138732.1	0
00002454	10	NCOA4	transcript variant 2	NM_001145261.1	NP_001138733.1	0
00002455	10	NCOA4	transcript variant 4	NM_001145263.1	NP_001138735.1	0
00002456	10	NCOA4	transcript variant 5	NM_005437.3	NP_005428.1	0
00002457	10	NCOA4	transcript variant 3	NM_001145262.1	NP_001138734.1	0
00002458	2	NEU4	transcript variant X1	XM_005246989.1	XP_005247046.1	0
00002459	2	NEU4	transcript variant 4	NM_001167601.1	NP_001161073.1	0
00002460	2	NEU4	transcript variant 3	NM_001167600.1	NP_001161072.1	0
00002461	2	NEU4	transcript variant 5	NM_001167602.1	NP_001161074.1	0
00002462	2	NEU4	transcript variant 2	NM_001167599.1	NP_001161071.1	0
00002463	2	NEU4	transcript variant 1	NM_080741.2	NP_542779.2	0
00002464	20	NFS1	NFS1 nitrogen fixation 1 homolog (S. cerevisiae), transcript variant 3	NM_001198989.1	NP_001185918.1	0
00002465	20	NFS1	NFS1 nitrogen fixation 1 homolog (S. cerevisiae), transcript variant 1	NM_021100.4	NP_066923.3	0
00002466	20	NFS1	NFS1 nitrogen fixation 1 homolog (S. cerevisiae), transcript variant 2	NR_037570.2	-	0
00002467	4	NFXL1	transcript variant 2	NM_001278623.1	NP_001265552.1	0
00002468	4	NFXL1	transcript variant 4	NR_103795.1	-	0
00002469	4	NFXL1	transcript variant 1	NM_152995.5	NP_694540.3	0
00002470	4	NFXL1	transcript variant 3	NM_001278624.1	NP_001265553.1	0
00002471	2	NIF3L1	transcript variant 1	NM_001136039.2	NP_001129511.1	0
00002472	2	NIF3L1	transcript variant 3	NM_001142355.1	NP_001135827.1	0
00002473	2	NIF3L1	transcript variant 2	NM_021824.3	NP_068596.2	0
00002474	2	NIF3L1	transcript variant 4	NM_001142356.1	NP_001135828.1	0
00002475	22	NIPSNAP1	transcript variant 1	NM_003634.3	NP_003625.2	0
00002476	22	NIPSNAP1	transcript variant 2	NM_001202502.1	NP_001189431.1	0
00002477	9	NIPSNAP3A	nipsnap homolog 3A (C. elegans)	NM_015469.1	NP_056284.1	0
00002478	9	NIPSNAP3B	transcript variant X1	XR_242593.1	-	0
00002479	9	NIPSNAP3B	nipsnap homolog 3B (C. elegans)	NM_018376.2	NP_060846.2	0
00002480	1	NIT1	transcript variant 2	NM_001185092.1	NP_001172021.1	0
00002481	1	NIT1	transcript variant 1	NM_005600.2	NP_005591.1	0
00002482	1	NIT1	transcript variant 3	NM_001185093.1	NP_001172022.1	0
00002483	1	NIT1	transcript variant 4	NM_001185094.1	NP_001172023.1	0
00002484	5	NLN	neurolysin (metallopeptidase M3 family)	NM_020726.4	NP_065777.1	0
00002485	11	NLRX1	transcript variant X1	XM_005271667.1	XP_005271724.1	0
00002486	11	NLRX1	transcript variant X3	XM_005271669.1	XP_005271726.1	0
00002487	11	NLRX1	transcript variant X5	XM_005271671.1	XP_005271728.1	0
00002488	11	NLRX1	transcript variant 1	NM_024618.2	NP_078894.2	0
00002489	11	NLRX1	transcript variant 2	NM_170722.1	NP_733840.1	0
00002490	11	NLRX1	transcript variant X6	XM_005271672.1	XP_005271729.1	0
00002491	11	NLRX1	transcript variant X2	XM_005271668.1	XP_005271725.1	0
00002492	11	NLRX1	transcript variant X4	XM_005271670.1	XP_005271727.1	0
00002493	17	NME1	non-metastatic cells 1, protein (NM23A) expressed in, transcript variant 1	NM_198175.1	NP_937818.1	0
00002494	17	NME1	non-metastatic cells 1, protein (NM23A) expressed in, transcript variant 2	NM_000269.2	NP_000260.1	0
00002495	17	NME1-NME2	transcript variant 2	NR_037149.1	-	0
00002496	17	NME1-NME2	transcript variant 1	NM_001018136.2	NP_001018146.1	0
00002497	17	NME2	transcript variant 2	NM_001018137.2	NP_001018147.1	0
00002498	17	NME2	transcript variant 1	NM_002512.3	NP_002503.1	0
00002499	17	NME2	transcript variant 5	NM_001198682.1	NP_001185611.1	0
00002500	17	NME2	transcript variant 4	NM_001018139.2	NP_001018149.1	0
00002501	17	NME2	transcript variant 3	NM_001018138.1	NP_001018148.1	0
00002502	16	NME3	NME/NM23 nucleoside diphosphate kinase 3	NM_002513.2	NP_002504.2	0
00002503	16	NME3	transcript variant X1	XM_005255332.1	XP_005255389.1	0
00002504	16	NME4	transcript variant X4	XM_005255336.1	-	0
00002505	16	NME4	NME/NM23 nucleoside diphosphate kinase 4	NM_005009.2	NP_005000.1	0
00002506	16	NME4	transcript variant X1	XM_005255333.1	-	0
00002507	16	NME4	transcript variant X2	XM_005255334.1	-	0
00002508	16	NME4	transcript variant X3	XM_005255335.1	-	0
00002509	3	NME6	transcript variant X3	XM_005264791.1	XP_005264848.1	0
00002510	3	NME6	transcript variant X2	XM_005264790.1	XP_005264847.1	0
00002511	3	NME6	transcript variant X1	XM_005264789.1	XP_005264846.1	0
00002512	3	NME6	transcript variant X7	XR_245088.1	-	0
00002513	3	NME6	transcript variant X5	XM_005264793.1	XP_005264850.1	0
00002514	3	NME6	transcript variant X4	XM_005264792.1	XP_005264849.1	0
00002515	3	NME6	transcript variant X6	XM_005264794.1	XP_005264851.1	0
00002516	3	NME6	NME/NM23 nucleoside diphosphate kinase 6	NM_005793.3	NP_005784.1	0
00002517	5	NNT	transcript variant 1	NM_012343.3	NP_036475.3	0
00002518	5	NNT	transcript variant 2	NM_182977.2	NP_892022.2	0
00002519	1	NRD1	transcript variant 2	NM_001101662.1	NP_001095132.1	0
00002520	1	NRD1	transcript variant 1	NM_002525.2	NP_002516.2	0
00002521	1	NRD1	transcript variant 3	NM_001242361.1	NP_001229290.1	0
00002522	17	NT5C	transcript variant 3	NR_045513.1	-	0
00002523	17	NT5C	transcript variant 2	NM_001252377.1	NP_001239306.1	0
